time,time_change,time,time_change,h,F,buoyancy,Fv(N),x/d,y/d,Cfr,Cfv
46.894,29.6,46.894,29.6,50.4,1.929977655,0.328736255,1.6012414,0,0.76,0,0.63711371
46.889,29.595,46.889,29.595,50.405,1.929572302,0.328736255,1.600836047,0,0.760125,0,0.636952425
46.884,29.59,46.884,29.59,50.41,1.929309051,0.328736255,1.600572796,0,0.76025,0,0.636847681
46.879,29.585,46.879,29.585,50.415,1.92911407,0.328736255,1.600377815,0,0.760375,0,0.6367701
46.874,29.58,46.874,29.58,50.42,1.928862126,0.328736255,1.600125871,0,0.7605,0,0.636669855
46.869,29.575,46.869,29.575,50.425,1.928666995,0.328736255,1.59993074,0,0.760625,0,0.636592215
46.864,29.57,46.864,29.57,50.43,1.928389294,0.328736255,1.599653039,0,0.76075,0,0.636481721
46.859,29.565,46.859,29.565,50.435,1.928144733,0.328736255,1.599408478,0,0.760875,0,0.636384413
46.854,29.56,46.854,29.56,50.44,1.928034385,0.328736255,1.59929813,0,0.761,0,0.636340507
46.849,29.555,46.849,29.555,50.445,1.927511636,0.328736255,1.598775381,0,0.761125,0,0.636132512
46.844,29.55,46.844,29.55,50.45,1.926889087,0.328736255,1.598152832,0,0.76125,0,0.635884807
46.839,29.545,46.839,29.545,50.455,1.926175985,0.328736255,1.597439729,0,0.761375,0,0.635601073
46.834,29.54,46.834,29.54,50.46,1.925532472,0.328736255,1.596796217,0,0.7615,0,0.635345028
46.829,29.535,46.829,29.535,50.465,1.925299582,0.328736255,1.596563327,0,0.761625,0,0.635252364
46.824,29.53,46.824,29.53,50.47,1.924468895,0.328736255,1.595732639,0,0.76175,0,0.634921844
46.819,29.525,46.819,29.525,50.475,1.924253802,0.328736255,1.595517546,0,0.761875,0,0.634836261
46.814,29.52,46.814,29.52,50.48,1.923681295,0.328736255,1.594945039,0,0.762,0,0.634608467
46.809,29.515,46.809,29.515,50.485,1.922971025,0.328736255,1.59423477,0,0.762125,0,0.63432586
46.804,29.51,46.804,29.51,50.49,1.922451149,0.328736255,1.593714893,0,0.76225,0,0.634119008
46.799,29.505,46.799,29.505,50.495,1.92198067,0.328736255,1.593244415,0,0.762375,0,0.633931811
46.794,29.5,46.794,29.5,50.5,1.921340115,0.328736255,1.59260386,0,0.7625,0,0.633676942
46.789,29.495,46.789,29.495,50.505,1.920775357,0.328736255,1.592039101,0,0.762625,0,0.633452231
46.784,29.49,46.784,29.49,50.51,1.920107202,0.328736255,1.591370946,0,0.76275,0,0.633186381
46.779,29.485,46.779,29.485,50.515,1.919628911,0.328736255,1.590892656,0,0.762875,0,0.632996075
46.774,29.48,46.774,29.48,50.52,1.91938798,0.328736255,1.590651725,0,0.763,0,0.632900212
46.769,29.475,46.769,29.475,50.525,1.918909237,0.328736255,1.590172982,0,0.763125,0,0.632709726
46.764,29.47,46.764,29.47,50.53,1.918586954,0.328736255,1.589850699,0,0.76325,0,0.632581494
46.759,29.465,46.759,29.465,50.535,1.918318194,0.328736255,1.589581938,0,0.763375,0,0.632474557
46.754,29.46,46.754,29.46,50.54,1.918134858,0.328736255,1.589398602,0,0.7635,0,0.63240161
46.749,29.455,46.749,29.455,50.545,1.917993772,0.328736255,1.589257517,0,0.763625,0,0.632345474
46.744,29.45,46.744,29.45,50.55,1.918025645,0.328736255,1.589289389,0,0.76375,0,0.632358156
46.739,29.445,46.739,29.445,50.555,1.917428959,0.328736255,1.588692704,0,0.763875,0,0.632120742
46.734,29.44,46.734,29.44,50.56,1.916791578,0.328736255,1.588055322,0,0.764,0,0.631867136
46.729,29.435,46.729,29.435,50.565,1.916805629,0.328736255,1.588069373,0,0.764125,0,0.631872727
46.724,29.43,46.724,29.43,50.57,1.91677824,0.328736255,1.588041985,0,0.76425,0,0.631861829
46.719,29.425,46.719,29.425,50.575,1.916417435,0.328736255,1.58768118,0,0.764375,0,0.63171827
46.714,29.42,46.714,29.42,50.58,1.915714637,0.328736255,1.586978382,0,0.7645,0,0.631438635
46.709,29.415,46.709,29.415,50.585,1.914823781,0.328736255,1.586087526,0,0.764625,0,0.631084175
46.704,29.41,46.704,29.41,50.59,1.91410349,0.328736255,1.585367235,0,0.76475,0,0.63079758
46.699,29.405,46.699,29.405,50.595,1.913546473,0.328736255,1.584810217,0,0.764875,0,0.63057595
46.694,29.4,46.694,29.4,50.6,1.913114543,0.328736255,1.584378288,0,0.765,0,0.630404091
46.689,29.395,46.689,29.395,50.605,1.912370006,0.328736255,1.583633751,0,0.765125,0,0.630107849
46.684,29.39,46.684,29.39,50.61,1.911602721,0.328736255,1.582866465,0,0.76525,0,0.629802556
46.679,29.385,46.679,29.385,50.615,1.910854798,0.328736255,1.582118543,0,0.765375,0,0.629504967
46.674,29.38,46.674,29.38,50.62,1.910096637,0.328736255,1.581360382,0,0.7655,0,0.629203304
46.669,29.375,46.669,29.375,50.625,1.909434424,0.328736255,1.580698169,0,0.765625,0,0.628939818
46.664,29.37,46.664,29.37,50.63,1.908910631,0.328736255,1.580174376,0,0.76575,0,0.628731407
46.659,29.365,46.659,29.365,50.635,1.908464071,0.328736255,1.579727816,0,0.765875,0,0.628553727
46.654,29.36,46.654,29.36,50.64,1.907925293,0.328736255,1.579189037,0,0.766,0,0.628339353
46.649,29.355,46.649,29.355,50.645,1.907197255,0.328736255,1.578461,0,0.766125,0,0.628049677
46.644,29.35,46.644,29.35,50.65,1.906460761,0.328736255,1.577724506,0,0.76625,0,0.627756635
46.639,29.345,46.639,29.345,50.655,1.905891583,0.328736255,1.577155328,0,0.766375,0,0.627530166
46.634,29.34,46.634,29.34,50.66,1.90540886,0.328736255,1.576672604,0,0.7665,0,0.627338097
46.629,29.335,46.629,29.335,50.665,1.904643536,0.328736255,1.575907281,0,0.766625,0,0.627033584
46.624,29.33,46.624,29.33,50.67,1.903762339,0.328736255,1.575026084,0,0.76675,0,0.626682967
46.619,29.325,46.619,29.325,50.675,1.903033771,0.328736255,1.574297515,0,0.766875,0,0.626393079
46.614,29.32,46.614,29.32,50.68,1.902516603,0.328736255,1.573780348,0,0.767,0,0.626187304
46.609,29.315,46.609,29.315,50.685,1.902033405,0.328736255,1.57329715,0,0.767125,0,0.625995046
46.604,29.31,46.604,29.31,50.69,1.901357577,0.328736255,1.572621321,0,0.76725,0,0.625726142
46.599,29.305,46.599,29.305,50.695,1.900463329,0.328736255,1.571727074,0,0.767375,0,0.625370333
46.594,29.3,46.594,29.3,50.7,1.899988602,0.328736255,1.571252346,0,0.7675,0,0.625181444
46.589,29.295,46.589,29.295,50.705,1.900217033,0.328736255,1.571480777,0,0.767625,0,0.625272334
46.584,29.29,46.584,29.29,50.71,1.899485073,0.328736255,1.570748818,0,0.76775,0,0.624981097
46.579,29.285,46.579,29.285,50.715,1.899105143,0.328736255,1.570368888,0,0.767875,0,0.624829927
46.574,29.28,46.574,29.28,50.72,1.898871972,0.328736255,1.570135717,0,0.768,0,0.624737152
46.569,29.275,46.569,29.275,50.725,1.898774794,0.328736255,1.570038539,0,0.768125,0,0.624698486
46.564,29.27,46.564,29.27,50.73,1.898677413,0.328736255,1.569941157,0,0.76825,0,0.624659739
46.559,29.265,46.559,29.265,50.735,1.898468826,0.328736255,1.569732571,0,0.768375,0,0.624576745
46.554,29.26,46.554,29.26,50.74,1.898510277,0.328736255,1.569774022,0,0.7685,0,0.624593238
46.549,29.255,46.549,29.255,50.745,1.898967187,0.328736255,1.570230932,0,0.768625,0,0.624775037
46.544,29.25,46.544,29.25,50.75,1.898938037,0.328736255,1.570201782,0,0.76875,0,0.624763438
46.539,29.245,46.539,29.245,50.755,1.899261742,0.328736255,1.570525486,0,0.768875,0,0.624892236
46.534,29.24,46.534,29.24,50.76,1.899713737,0.328736255,1.570977482,0,0.769,0,0.625072079
